Project,Language,Identifier Type,Identifier Name
dummy-project,Java,variable,foo
dummy-project,Java,function,bar
dummy-project,Python,variable,tmp
dummy-project,Python,function,temp
dummy-project,JavaScript,variable,t
dummy-project,JavaScript,function,f
dummy-project,Python,variable,d
dummy-project,Python,function,x
dummy-project,Java,variable,y
dummy-project,Java,function,z
dummy-project,C#,variable,aa
dummy-project,C#,function,bb
dummy-project,Java,variable,cc
dummy-project,Python,function,obj
dummy-project,JavaScript,variable,obj1
dummy-project,JavaScript,function,obj2
dummy-project,Python,variable,test
dummy-project,Java,function,test1
dummy-project,Java,variable,test2
dummy-project,Python,function,flag
dummy-project,JavaScript,variable,data
dummy-project,JavaScript,function,var
dummy-project,Python,variable,value
dummy-project,Java,function,ret
dummy-project,C#,variable,val
dummy-project,C#,function,output
dummy-project,Java,variable,input
dummy-project,Python,function,thing
dummy-project,JavaScript,variable,stuff
dummy-project,JavaScript,function,item
dummy-project,Python,variable,node
dummy-project,Java,function,edge
dummy-project,Java,variable,i
dummy-project,Python,function,j
dummy-project,C#,variable,k
dummy-project,C#,function,m
dummy-project,Java,variable,n
dummy-project,Python,function,l
dummy-project,JavaScript,variable,p
dummy-project,JavaScript,function,q
dummy-project,Python,variable,result
dummy-project,Java,function,results
dummy-project,Java,variable,res
dummy-project,Python,function,s
dummy-project,JavaScript,variable,t1
dummy-project,JavaScript,function,t2
dummy-project,Python,variable,map
dummy-project,Java,function,dict
dummy-project,C#,variable,list
dummy-project,C#,function,lst
dummy-project,Java,variable,array
dummy-project,Python,function,arr
dummy-project,JavaScript,variable,string
dummy-project,JavaScript,function,str
dummy-project,Python,variable,buf
dummy-project,Java,function,buffer
dummy-project,C#,variable,ch
dummy-project,C#,function,ch1
dummy-project,Java,variable,ch2
dummy-project,Python,function,num
dummy-project,JavaScript,variable,num1
dummy-project,JavaScript,function,num2
dummy-project,Python,variable,timestamp
dummy-project,Java,function,date
dummy-project,Java,variable,data1
dummy-project,Python,function,data2
dummy-project,JavaScript,variable,v
dummy-project,JavaScript,function,v1
dummy-project,Python,variable,v2
dummy-project,Java,function,flag1
dummy-project,C#,variable,flag2
dummy-project,C#,function,flag3
dummy-project,Java,variable,ref
dummy-project,Python,function,ref1
dummy-project,JavaScript,variable,ptr
dummy-project,JavaScript,function,ptr1
dummy-project,Python,variable,ptr2
dummy-project,Java,function,ptr3
dummy-project,C#,variable,var1
dummy-project,C#,function,var2
dummy-project,Java,variable,dat
dummy-project,Python,function,val1
dummy-project,JavaScript,variable,val2
dummy-project,JavaScript,function,temp1
dummy-project,Python,variable,temp2
dummy-project,Java,function,flag4
dummy-project,Java,variable,testCase
dummy-project,Python,function,helper
dummy-project,JavaScript,variable,util
dummy-project,JavaScript,function,util1
dummy-project,Python,variable,func
dummy-project,Java,function,calc
dummy-project,C#,variable,run
dummy-project,C#,function,exec
dummy-project,Java,variable,exec1
dummy-project,Python,function,runner
dummy-project,JavaScript,variable,main
dummy-project,JavaScript,function,main1
dummy-project,Python,variable,main2
dummy-project,Java,function,main3
dummy-project,C#,variable,foo1
dummy-project,C#,function,foo2
dummy-project,Java,variable,foo3
dummy-project,Python,function,bar1
dummy-project,JavaScript,variable,bar2
dummy-project,JavaScript,function,bar3
...
