Project,Language,Identifier Type,Identifier Name,len
human-survey,Python,variable,output_dir,10
human-survey,JavaScript,function,doStuff,7
human-survey,Python,variable,x,1
human-survey,Java,class,VersionManager,14
human-survey,Python,function,render_templates,16
human-survey,Python,variable,_,1
human-survey,Python,function,validate_user_input,19
human-survey,Java,class,DummyBuildSrc,13
human-survey,Python,variable,tmp,3
human-survey,Python,function,maybe_cythonize,15
human-survey,Python,variable,is_debug_mode,13
human-survey,Java,class,Factorize,9
human-survey,Python,variable,"i, j, k",7
human-survey,Java,function,get,3
human-survey,Java,class,Hashing,7
human-survey,Python,function,write_version_info,18
human-survey,Python,function,process_tempita,15
human-survey,Python,variable,ext_data,8
human-survey,Python,function,run,3
human-survey,Python,variable,pxifile,7
human-survey,Java,class,InputValidator,14
human-survey,Java,function,testIsInitialized,17
human-survey,Python,variable,d,1
human-survey,Python,function,calculate_tax,13
human-survey,Java,class,LazyInitializerTestImpl,23
human-survey,Python,function,clean_me,8
human-survey,Python,variable,macros,6
human-survey,Python,function,parse,5
human-survey,Java,class,MemoizerComputableTest,22
human-survey,Python,function,setup_cache,11
human-survey,Python,function,linetrace,9
human-survey,Python,variable,parsed,6
human-survey,Python,function,f,1
human-survey,Python,variable,user_data,9
human-survey,C#,class,CleanCommand,12
human-survey,Python,function,initialize,10
human-survey,Python,variable,version_info,12
human-survey,Python,function,db_query,8
human-survey,Python,class,ConfigParser,12
human-survey,Python,function,handle,6
